System,Element,Suggest Solution,Effect,Malware Infections,Lost Devices,Note,Source
Remote Access for Engineers,Intrusion detection or prevention,Endpoint monitoring,0.18,-0.11,-0.05,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Remote Access for Engineers,Intrusion detection or prevention,Database activity monitoring,0.42,-0.31,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Authentication system,SSO with MFA,0.79,-0.41,-0.25,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Authentication system,RBAC permissions,0.57,-0.36,-0.2,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Authentication system,Password rotation policy,0.15,-0.06,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,External website security,HTTPS/TLS enforcement,0.87,-0.43,-0.22,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,External website security,WAF deployment,0.26,-0.19,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,External website security,Secure coding review,0.13,-0.09,-0.04,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Internal website security,Local network access only,0.63,-0.33,-0.32,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Internal website security,Access logs monitoring,0.85,-0.35,-0.54,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Internal website security,MFA on internal apps,0.76,-0.4,-0.41,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Remote access solution,VPN full tunnel,0.29,-0.14,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Remote access solution,SSH keys for engineers,0.74,-0.39,-0.46,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Remote access solution,Zero Trust model,0.88,-0.69,-0.53,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Firewall and basic rules,Default deny inbound,0.61,-0.48,-0.4,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Firewall and basic rules,Geo-aware filtering,0.83,-0.41,-0.28,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Firewall and basic rules,IPS integrated firewall,0.12,-0.08,-0.03,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Wireless security,WPA3 Enterprise,0.81,-0.59,-0.51,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Wireless security,RADIUS authentication,0.12,-0.07,-0.07,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Wireless security,Guest WiFi segmentation,0.57,-0.43,-0.15,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,VLAN configuration,DMZ for external services,0.87,-0.47,-0.52,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,VLAN configuration,Isolate payment systems,0.35,-0.17,-0.24,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,VLAN configuration,ACL-controlled inter-VLAN,0.52,-0.38,-0.32,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Laptop security configuration,Full disk encryption,0.41,-0.19,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Laptop security configuration,EDR Malware protection,0.58,-0.36,-0.16,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Laptop security configuration,Remote wipe,0.77,-0.5,-0.18,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Application policy,Allowlist software,0.58,-0.3,-0.29,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Application policy,Version management,0.22,-0.16,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Application policy,Periodic software audits,0.86,-0.38,-0.56,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Security and privacy policy,Data retention rules,0.66,-0.51,-0.15,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Security and privacy policy,USB restriction,0.23,-0.13,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Security and privacy policy,Phishing awareness training,0.46,-0.27,-0.14,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Intrusion detection or prevention,SIEM alerts,0.62,-0.49,-0.31,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Intrusion detection or prevention,Endpoint monitoring,0.88,-0.55,-0.36,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Firewall Rules,Intrusion detection or prevention,Database activity monitoring,0.71,-0.4,-0.17,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Authentication system,SSO with MFA,0.79,-0.56,-0.26,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Authentication system,RBAC permissions,0.67,-0.5,-0.35,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Authentication system,Password rotation policy,0.17,-0.1,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,External website security,HTTPS/TLS enforcement,0.65,-0.52,-0.43,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,External website security,WAF deployment,0.27,-0.21,-0.18,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,External website security,Secure coding review,0.88,-0.53,-0.56,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Internal website security,Local network access only,0.54,-0.36,-0.13,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Internal website security,Access logs monitoring,0.15,-0.08,-0.07,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Internal website security,MFA on internal apps,0.31,-0.16,-0.21,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Remote access solution,VPN full tunnel,0.15,-0.09,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Remote access solution,SSH keys for engineers,0.79,-0.38,-0.22,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Remote access solution,Zero Trust model,0.33,-0.19,-0.21,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Firewall and basic rules,Default deny inbound,0.23,-0.13,-0.12,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Firewall and basic rules,Geo-aware filtering,0.37,-0.15,-0.14,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Firewall and basic rules,IPS integrated firewall,0.49,-0.39,-0.23,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Wireless security,WPA3 Enterprise,0.12,-0.09,-0.03,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Wireless security,RADIUS authentication,0.7,-0.38,-0.39,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Wireless security,Guest WiFi segmentation,0.11,-0.08,-0.05,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,VLAN configuration,DMZ for external services,0.68,-0.4,-0.47,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,VLAN configuration,Isolate payment systems,0.19,-0.09,-0.07,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,VLAN configuration,ACL-controlled inter-VLAN,0.82,-0.38,-0.18,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Laptop security configuration,Full disk encryption,0.44,-0.28,-0.3,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Laptop security configuration,EDR Malware protection,0.79,-0.41,-0.24,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Laptop security configuration,Remote wipe,0.11,-0.08,-0.04,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Application policy,Allowlist software,0.23,-0.14,-0.16,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Application policy,Version management,0.44,-0.32,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Application policy,Periodic software audits,0.79,-0.5,-0.34,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Security and privacy policy,Data retention rules,0.86,-0.46,-0.34,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Security and privacy policy,USB restriction,0.39,-0.21,-0.13,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Security and privacy policy,Phishing awareness training,0.45,-0.29,-0.31,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Intrusion detection or prevention,SIEM alerts,0.71,-0.33,-0.41,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Intrusion detection or prevention,Endpoint monitoring,0.76,-0.57,-0.41,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Wireless Coverage,Intrusion detection or prevention,Database activity monitoring,0.81,-0.64,-0.36,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Authentication system,SSO with MFA,0.53,-0.42,-0.15,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Authentication system,RBAC permissions,0.31,-0.19,-0.14,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Authentication system,Password rotation policy,0.64,-0.33,-0.23,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,External website security,HTTPS/TLS enforcement,0.29,-0.15,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,External website security,WAF deployment,0.27,-0.19,-0.08,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,External website security,Secure coding review,0.72,-0.31,-0.3,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Internal website security,Local network access only,0.21,-0.12,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Internal website security,Access logs monitoring,0.54,-0.28,-0.33,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Internal website security,MFA on internal apps,0.35,-0.17,-0.16,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Remote access solution,VPN full tunnel,0.82,-0.49,-0.56,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Remote access solution,SSH keys for engineers,0.14,-0.09,-0.06,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Remote access solution,Zero Trust model,0.62,-0.29,-0.29,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Firewall and basic rules,Default deny inbound,0.17,-0.07,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Firewall and basic rules,Geo-aware filtering,0.82,-0.43,-0.46,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Firewall and basic rules,IPS integrated firewall,0.29,-0.16,-0.2,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Wireless security,WPA3 Enterprise,0.77,-0.51,-0.27,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Wireless security,RADIUS authentication,0.2,-0.11,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Wireless security,Guest WiFi segmentation,0.47,-0.32,-0.18,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,VLAN configuration,DMZ for external services,0.26,-0.13,-0.07,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,VLAN configuration,Isolate payment systems,0.25,-0.11,-0.11,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,VLAN configuration,ACL-controlled inter-VLAN,0.34,-0.17,-0.1,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Laptop security configuration,Full disk encryption,0.32,-0.25,-0.16,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Laptop security configuration,EDR Malware protection,0.75,-0.54,-0.19,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Laptop security configuration,Remote wipe,0.7,-0.47,-0.32,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Application policy,Allowlist software,0.72,-0.5,-0.42,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Application policy,Version management,0.67,-0.38,-0.35,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Application policy,Periodic software audits,0.69,-0.53,-0.34,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Security and privacy policy,Data retention rules,0.39,-0.2,-0.22,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Security and privacy policy,USB restriction,0.22,-0.15,-0.09,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Security and privacy policy,Phishing awareness training,0.42,-0.18,-0.12,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Intrusion detection or prevention,SIEM alerts,0.12,-0.06,-0.06,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Intrusion detection or prevention,Endpoint monitoring,0.71,-0.45,-0.25,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
Laptop Configuration,Intrusion detection or prevention,Database activity monitoring,0.29,-0.21,-0.14,Giảm thiểu rủi ro bằng áp dụng giải pháp chuẩn trong ngành,"Best practice cybersecurity frameworks (NIST, CIS Controls)"
